id,category,language,question,answer
990,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,අලර්ජි ප්‍රතික්‍රියාවක් ඇතිවුවහොත් කළ යුත්තේ කුමක්ද?,වහාම වෛද්‍ය උපකාර ලබාගන්න සහ ඔබගේ තත්ත්වය සේවකයන්ට දැනුම් දෙන්න.
991,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,තෙත් පෘෂ්ඨ මත ලිස්සී වැටීමෙන් වැළකීමට කෙසේද?,"මඳ වේගයෙන් ඇවිදීම, අත්අල්ලා ගැනීමේ දඩු භාවිතා කිරීම, හා තෙත් තැන්වල ධාවනය නොකිරීම."
992,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,පොදු තැන්වල හැසිරීම ගැන දැනගත යුතු දේ මොනවාද?,"ගරුසරු ලෙස හැසිරීම, අධික ශබ්දයෙන් කතා නොකිරීම, සහ සුදුසු ඇඳුම් ඇඳීම."
993,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,පොදු ප්‍රවාහනය භාවිතා කරන විට ආරක්ෂිතව සිටීමට කෙසේද?,"අල්ලාගැනීමට ඇති දඩු අල්ලාගෙන සිටීම, බෑගය ළඟින් තබාගැනීම, සහ ජනෙල්වලින් පිටතට නැඹුරු නොවීම."
994,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,අනවසර මඟපෙන්වන්නන් විශ්වාස කළ යුතුද?,නැහැ. අවසර ලත් හෝ නිර්දේශිත මඟපෙන්වන්නන් පමණක් තෝරන්න.
995,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,ජල හිඟයෙන් (නිර්ජලතාවයෙන්) වැළකීමට කෙසේද?,විශේෂයෙන් උණුසුම් කාලගුණයේ නිතර ජලය බොන්න.
996,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,මංතීරු සත්ත්වයන් හමුවුවහොත් කළ යුතු දේ මොනවාද?,ඒවාට ඉඩ ලබාදී දුරින් සිටින්න; ස්පර්ශ කිරීම හෝ ආහාර දීමෙන් වලකින්න.
997,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,කඳු නගිමින් (පාගමන්) යන විට ගත යුතු ආරක්ෂක පියවර මොනවාද?,"සලකුණු කළ මාර්ග අනුගමනය කිරීම, ජලය ගෙන යාම, සහ තනිව නොයෑම."
998,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,කාමර යතුර අහිමි වුවහොත් කළ යුතු දේ මොනවාද?,වහාම හෝටලයට දැනුම් දී නව යතුරක් ලබාගන්න.
999,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,අධික ගාස්තු අය කරන සේවා වලින් වැළකීමට කෙසේද?,"පෙරම මිල පරීක්ෂා කර, ගාස්තු විස්තර පැහැදිලිව ඉල්ලාගන්න."
1000,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,Sinhala,සංචාරකයන් සඳහා සම්මත ආරක්ෂක උපදෙස් මොනවාද?,"අවධානයෙන් සිටින්න, දේශීය උපදෙස් අනුගමනය කරන්න, සහ ඔබගේ භාණ්ඩ සුරක්ෂිතව තබාගන්න."
1001,CATEGORY 1 — ACCOMMODATION,Tamil,இலங்கையில் சுற்றுலாப்பயணிகள் தங்குவதற்கு எந்த வகையான விடுதிகள் உள்ளன?,"ஹோட்டல்கள், ஓய்விடங்கள், விருந்தினர் இல்லங்கள் மற்றும் வீட்டு தங்குமிடங்கள் உள்ளன."
1002,CATEGORY 1 — ACCOMMODATION,Tamil,ஹோட்டலும் ஓய்விடமும் இடையிலான வேறுபாடு என்ன?,"ஹோட்டல்கள் நகர்ப்புற வசதிகளை வழங்கும் போது, ஓய்விடங்கள் இயற்கைச் சூழலில் ஓய்வை மையமாகக் கொண்டவை."
1003,CATEGORY 1 — ACCOMMODATION,Tamil,விருந்தினர் இல்லம் என்றால் என்ன?,குறைந்த செலவில் தங்கும் வசதிகளை வழங்கும் சிறிய தங்குமிடமாகும்.
1004,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தை முன்பதிவு செய்வது ஏன் முக்கியம்?,பயண காலத்தில் அறை கிடைப்பதை உறுதி செய்யவும் சிரமங்களைத் தவிர்க்கவும்.
1005,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தை தேர்வு செய்யும்போது கவனிக்க வேண்டிய விடயங்கள் என்ன?,"இடம், விலை, வசதிகள் மற்றும் பயனர் மதிப்பீடுகள்."
1006,CATEGORY 1 — ACCOMMODATION,Tamil,குடும்பத்துடன் பயணிப்பவர்களுக்கு ஏற்ற தங்குமிடங்கள் எவை?,குடும்ப அறைகள் மற்றும் குழந்தைகளுக்கான வசதிகள் கொண்ட தங்குமிடங்கள்.
1007,CATEGORY 1 — ACCOMMODATION,Tamil,ஹோட்டலில் செக்-இன் செய்வது என்றால் என்ன?,வருகையின் போது பதிவு செய்து அறையைப் பெறும் செயல்முறை.
1008,CATEGORY 1 — ACCOMMODATION,Tamil,செக்-அவுட் செய்வது என்றால் என்ன?,தங்கிய காலம் முடிந்த பின் அறையை ஒப்படைக்கும் செயல்.
1009,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் வழங்கப்படும் அடிப்படை வசதிகள் என்ன?,"படுக்கை, குளியலறை, மின்சாரம் மற்றும் குடிநீர்."
1010,CATEGORY 1 — ACCOMMODATION,Tamil,இலவச காலை உணவு வழங்கப்படுகிறதா என்பதை எவ்வாறு அறியலாம்?,முன்பதிவு விவரங்கள் அல்லது ஹோட்டல் தகவல்களை சரிபார்ப்பதன் மூலம்.
1011,CATEGORY 1 — ACCOMMODATION,Tamil,குளிர்சாதன வசதி தங்குமிடத்தில் முக்கியமா?,வெப்பமான காலநிலையில்இது வசதியை அதிகரிக்கும்.
1012,CATEGORY 1 — ACCOMMODATION,Tamil,இணைய வசதி தங்குமிடத்தில் ஏன் அவசியம்?,"தொடர்பு, தகவல் தேடல் மற்றும் வேலை தொடர்பான தேவைகளுக்காக."
1013,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தின் பாதுகாப்பு ஏன் முக்கியம்?,பயணிகளின் தனிப்பட்ட பாதுகாப்பையும் சொத்துகளையும் காக்க.
1014,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் பணியாளர்களின் சேவை முக்கியமா?,"ஆம், நல்ல சேவை பயண அனுபவத்தை மேம்படுத்தும்."
1015,CATEGORY 1 — ACCOMMODATION,Tamil,குறைந்த செலவில் தங்கும் வசதிகளை எவ்வாறு கண்டுபிடிக்கலாம்?,முன்பதிவு தளங்கள் மற்றும் சலுகைகளை ஒப்பிட்டு பார்க்கலாம்.
1016,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தின் இடம் பயணத்திற்கு எவ்வாறு பாதிப்பை ஏற்படுத்தும்?,முக்கிய இடங்களுக்கு அருகாமையில் இருப்பது பயண நேரத்தை குறைக்கும்.
1017,CATEGORY 1 — ACCOMMODATION,Tamil,சுற்றுச்சூழல் நட்பு தங்குமிடங்கள் என்றால் என்ன?,இயற்கையை பாதுகாக்கும் முறைகளைக் கடைப்பிடிக்கும் தங்குமிடங்கள்.
1018,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் உணவக வசதி உள்ளதா என்பதை எவ்வாறு அறியலாம்?,ஹோட்டல் விவரங்கள் அல்லது இணையதள தகவல்களை பார்க்கலாம்.
1019,CATEGORY 1 — ACCOMMODATION,Tamil,நீண்ட கால தங்குதலுக்கு ஏற்ற தங்குமிடங்கள் எவை?,குடியிருப்பு வகை தங்குமிடங்கள் மற்றும் சேவை அபார்ட்மென்ட்கள்.
1020,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் முன்பணம் செலுத்த வேண்டுமா?,சில தங்குமிடங்களில் முன்பணம் அவசியமாக இருக்கலாம்.
1021,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தின் மதிப்பீடுகள் ஏன் முக்கியம்?,பிற பயணிகளின் அனுபவத்தை அறிய உதவும்.
1022,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் குழந்தைகளுக்கான வசதிகள் உள்ளதா?,சில தங்குமிடங்களில் குழந்தைகளுக்கான சிறப்பு வசதிகள் உள்ளன.
1023,CATEGORY 1 — ACCOMMODATION,Tamil,செல்லப்பிராணிகளை அனுமதிக்கும் தங்குமிடங்கள் உள்ளனவா?,சில தங்குமிடங்கள் செல்லப்பிராணிகளை அனுமதிக்கின்றன.
1024,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் கூடுதல் கட்டணங்கள் உள்ளதா?,சேவை கட்டணம் அல்லது வரிகள் கூடுதலாக வசூலிக்கப்படலாம்.
1025,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தை ரத்து செய்வது எப்படி?,முன்பதிவு விதிமுறைகளின் படி ரத்து செய்யலாம்.
1026,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் தனிப்பட்ட குளியலறை இருப்பது ஏன் முக்கியம்?,"தனியுரிமை, சுகாதாரம் மற்றும் வசதியை உறுதி செய்வதற்காக."
1027,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் சுத்தம் எவ்வளவு முக்கியமானது?,சுத்தமான சூழல் ஆரோக்கியத்தையும் நலனையும் பாதுகாக்க உதவுகிறது.
1028,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் புகைபிடிக்க அனுமதி உள்ளதா என்பதை எவ்வாறு அறியலாம்?,தங்குமிட விதிமுறைகள் அல்லது அறிவிப்பு பலகைகளைப் பார்த்து அறியலாம்.
1029,CATEGORY 1 — ACCOMMODATION,Tamil,புகைபிடிக்க அனுமதி இல்லாத அறைகள் ஏன் வழங்கப்படுகின்றன?,"ஆரோக்கியம், சுத்தம் மற்றும் பிற விருந்தினர்களின் நலனை பாதுகாப்பதற்காக."
1030,CATEGORY 1 — ACCOMMODATION,Tamil,வணிகப் பயணிகளுக்கு ஏற்ற தங்குமிடங்கள் எவை?,"மாநாட்டு அறைகள், வேலை செய்யும் வசதிகள் மற்றும் இணைய சேவையுடன் கூடிய தங்குமிடங்கள்."
1031,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் வரவேற்பு சேவை ஏன் முக்கியம்?,"விருந்தினர்களுக்கு வழிகாட்டல், உதவி மற்றும் தகவல் வழங்குவதற்காக."
1032,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் பாதுகாப்புப் பெட்டி இருப்பது ஏன் அவசியம்?,மதிப்புள்ள பொருட்களை பாதுகாப்பாக வைத்திருப்பதற்காக.
1033,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் வாகன நிறுத்த வசதி உள்ளதா என்பதை எவ்வாறு தெரிந்துகொள்ளலாம்?,தங்குமிட தகவல்கள் அல்லது முன்பதிவு விவரங்களைச் சரிபார்ப்பதன் மூலம்.
1034,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் உடற்பயிற்சி வசதி உள்ளதா?,சில தங்குமிடங்களில் உடற்பயிற்சி அறைகள் அல்லது விளையாட்டு வசதிகள் உள்ளன.
1035,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் நீச்சல் குளம் இருப்பது பயனுள்ளதா?,ஓய்வுக்கும் பொழுதுபோக்கிற்கும் இது உதவுகிறது.
1036,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் சலவை சேவை வழங்கப்படுகிறதா?,பல தங்குமிடங்களில் சலவை மற்றும் உலர் சுத்திகரிப்பு சேவைகள் உள்ளன.
1037,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் அறை சேவை என்றால் என்ன?,அறைக்குள்ளேயே உணவு மற்றும் பிற சேவைகள் வழங்கப்படுவது.
1038,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் குடும்ப அறைகள் இருப்பதன் பயன் என்ன?,ஒரே இடத்தில் குடும்பமாக தங்க வசதியாக இருக்கும்.
1039,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் கூடுதல் படுக்கை வழங்கப்படுமா?,வேண்டுகோளின் அடிப்படையில் சில தங்குமிடங்களில் வழங்கப்படுகிறது.
1040,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் குழந்தைகளுக்கான பாதுகாப்பு ஏன் முக்கியம்?,குழந்தைகளின் பாதுகாப்பையும் நலனையும் உறுதி செய்வதற்காக.
1041,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் மாற்றுத் திறனாளிகளுக்கான வசதிகள் உள்ளனவா?,சில தங்குமிடங்களில் சிறப்பு வசதிகள் வழங்கப்படுகின்றன.
1042,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் ஒலி மாசு குறைவாக இருப்பது ஏன் முக்கியம்?,ஓய்வையும் நிம்மதியான தூக்கத்தையும் உறுதி செய்வதற்காக.
1043,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் காலை உணவு நேரம் ஏன் தெரிந்திருக்க வேண்டும்?,திட்டமிட்ட பயணத்திற்கும் நேர மேலாண்மைக்கும் உதவுகிறது.
1044,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் சுற்றுலா தகவல் சேவை உள்ளதா?,பல தங்குமிடங்களில் சுற்றுலா வழிகாட்டல் மற்றும் தகவல் சேவைகள் உள்ளன.
1045,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் மின்சாரம் தடையில்லாமல் இருப்பது ஏன் அவசியம்?,வசதியான தங்குதலுக்கும் பாதுகாப்புக்கும் இது முக்கியம்.
1046,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் குடிநீர் வழங்கப்படுகிறதா?,பெரும்பாலான தங்குமிடங்களில் பாதுகாப்பான குடிநீர் வழங்கப்படுகிறது.
1047,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் அறை சுத்தம் எவ்வளவு அடிக்கடி செய்யப்படுகிறது?,பொதுவாக தினசரி அல்லது விருந்தினரின் வேண்டுகோளின்படி.
1048,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் அவசர வெளியேறும் வழிகள் ஏன் முக்கியம்?,தீவிபத்து அல்லது பிற அவசர நிலைகளில் பாதுகாப்பாக வெளியேறுவதற்காக.
1049,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் விதிமுறைகளை பின்பற்றுவது ஏன் அவசியம்?,அனைத்து விருந்தினர்களுக்கும் பாதுகாப்பும் ஒழுங்கும் நிலைநாட்டுவதற்காக.
1050,CATEGORY 1 — ACCOMMODATION,Tamil,தங்குமிடத்தில் தங்கிய பின் கருத்து தெரிவிப்பது ஏன் முக்கியம்?,சேவையை மேம்படுத்தவும் எதிர்கால பயணிகளுக்கு உதவவும்.
1051,CATEGORY 2 — TRANSPORTATION,Tamil,இலங்கையில் பொதுப் போக்குவரத்து வசதிகள் என்னென்ன?,"பேருந்துகள், ரயில்கள், மூன்று சக்கர வாகனங்கள் மற்றும் வாடகை வாகனங்கள் உள்ளன."
1052,CATEGORY 2 — TRANSPORTATION,Tamil,பேருந்து பயணம் சுற்றுலாப்பயணிகளுக்கு ஏற்றதா?,"ஆம், இது குறைந்த செலவில் பயணிக்க உதவும் வசதியான வழியாகும்."
1053,CATEGORY 2 — TRANSPORTATION,Tamil,ரயில் பயணம் ஏன் பிரபலமானது?,இயற்கை காட்சிகளை ரசிக்கவும் வசதியான பயண அனுபவம் பெறவும் உதவுவதால்.
1054,CATEGORY 2 — TRANSPORTATION,Tamil,மூன்று சக்கர வாகனம் என்றால் என்ன?,குறுகிய தூரங்களுக்கு பயன்படுத்தப்படும் சிறிய வாடகை வாகனமாகும்.
1055,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்து செலவுகள் எவ்வாறு மாறுபடுகின்றன?,"பயண தூரம், வாகன வகை மற்றும் நேரத்தைப் பொறுத்து மாறுபடும்."
1056,CATEGORY 2 — TRANSPORTATION,Tamil,விமான நிலையத்திலிருந்து நகரத்திற்கு செல்ல எவ்வாறு வசதி உள்ளது?,"பேருந்து, வாடகை வாகனம் மற்றும் முன்பதிவு செய்யப்பட்ட போக்குவரத்து சேவைகள் மூலம்."
1057,CATEGORY 2 — TRANSPORTATION,Tamil,வாடகை வாகனம் எடுப்பது பாதுகாப்பானதா?,அனுமதி பெற்ற நிறுவனங்களிலிருந்து எடுத்தால் பாதுகாப்பானது.
1058,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் உச்ச நேரம் என்றால் என்ன?,காலை மற்றும் மாலை நேரங்களில் போக்குவரத்து நெரிசல் அதிகமாக இருக்கும் நேரம்.
1059,CATEGORY 2 — TRANSPORTATION,Tamil,நகரங்களில் போக்குவரத்து நெரிசல் ஏன் அதிகமாக உள்ளது?,வாகன எண்ணிக்கை அதிகரித்ததும் சாலைகள் குறைவாக இருப்பதும் காரணம்.
1060,CATEGORY 2 — TRANSPORTATION,Tamil,நீண்ட தூரப் பயணத்திற்கு ஏற்ற போக்குவரத்து எது?,ரயில் அல்லது நீண்ட தூர பேருந்து சேவைகள் ஏற்றவை.
1061,CATEGORY 2 — TRANSPORTATION,Tamil,ரயில் பயணத்தில் முன்பதிவு அவசியமா?,சில வகை ரயில்களுக்கு முன்பதிவு அவசியமாக இருக்கலாம்.
1062,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் நேரத்தை திட்டமிடுவது ஏன் முக்கியம்?,தாமதங்களை தவிர்க்கவும் பயணத்தை சீராக மேற்கொள்ளவும்.
1063,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்து அடையாள பலகைகளை பின்பற்றுவது ஏன் அவசியம்?,விபத்துகளைத் தவிர்க்கவும் பாதுகாப்பை உறுதி செய்யவும்.
1064,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் பயணிக்கும் போது கவனிக்க வேண்டியவை என்ன?,தனிப்பட்ட பொருட்களை பாதுகாப்பாக வைத்திருத்தல் மற்றும் சுற்றுப்புறத்தை கவனித்தல்.
1065,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் கட்டணத்தை முன்பே தெரிந்துகொள்வது ஏன் முக்கியம்?,அதிக கட்டணம் வசூலிப்பதைத் தவிர்க்க.
1066,CATEGORY 2 — TRANSPORTATION,Tamil,ஓட்டுநருடன் பயண விவரங்களை உறுதிப்படுத்துவது ஏன் அவசியம்?,தவறான பாதைகளையும் குழப்பங்களையும் தவிர்க்க.
1067,CATEGORY 2 — TRANSPORTATION,Tamil,இரவு நேரப் பயணம் பாதுகாப்பானதா?,பாதுகாப்பான சேவைகள் பயன்படுத்தினால் பொதுவாக பாதுகாப்பானது.
1068,CATEGORY 2 — TRANSPORTATION,Tamil,பொது போக்குவரத்தில் இருக்கை கிடைக்காவிட்டால் என்ன செய்ய வேண்டும்?,பாதுகாப்பாக நிற்கவும் அல்லது அடுத்த சேவையை காத்திருக்கவும்.
1069,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்து கால அட்டவணையை எவ்வாறு அறியலாம்?,நிலையங்களில் உள்ள அறிவிப்புகள் அல்லது அதிகாரப்பூர்வ தகவல் சேவைகள் மூலம்.
1070,CATEGORY 2 — TRANSPORTATION,Tamil,மலைப்பகுதிகளில் போக்குவரத்து ஏன் மெதுவாக உள்ளது?,வளைந்த சாலைகள் மற்றும் பாதுகாப்பு காரணங்களால்.
1071,CATEGORY 2 — TRANSPORTATION,Tamil,சுற்றுலாப்பயணிகள் போக்குவரத்தில் என்னென்ன சிரமங்களை எதிர்கொள்ளலாம்?,"நெரிசல், தாமதம் மற்றும் மொழி தொடர்பான சிக்கல்கள்."
1072,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் அவசர உதவி எவ்வாறு பெறலாம்?,அருகிலுள்ள அதிகாரிகள் அல்லது அவசர சேவை எண்களை தொடர்புகொள்வதன் மூலம்.
1073,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்து விதிமுறைகளை பின்பற்றுவது ஏன் முக்கியம்?,அனைவரின் பாதுகாப்பையும் சட்ட ஒழுங்கையும் பேணுவதற்காக.
1074,CATEGORY 2 — TRANSPORTATION,Tamil,பயணத்தின் போது வழிமுறைகளை உறுதி செய்வது ஏன் அவசியம்?,தவறான இடங்களில் இறங்குவதையும் நேர இழப்பையும் தவிர்க்க.
1075,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் பயண அனுபவத்தை மேம்படுத்த என்ன செய்யலாம்?,முன்கூட்டியே திட்டமிடுதல் மற்றும் பொறுமையுடன் நடந்து கொள்ளுதல்.
1076,CATEGORY 2 — TRANSPORTATION,Tamil,பயணத்தின் போது ஓட்டுநரிடம் இலக்கை உறுதிப்படுத்துவது ஏன் முக்கியம்?,தவறான பாதைகளில் செல்லாமல் சரியான இடத்தை நேரத்தில் அடைய உதவுவதற்காக.
1077,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் பயணிக்கும் போது பாதுகாப்பாக இருக்க என்ன செய்ய வேண்டும்?,தனிப்பட்ட பொருட்களை பாதுகாப்பாக வைத்திருத்தல் மற்றும் சுற்றுப்புறத்தை கவனித்தல்.
1078,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் தாமதங்கள் ஏற்படுவதற்கான காரணங்கள் என்ன?,"போக்குவரத்து நெரிசல், வானிலை மாற்றங்கள் மற்றும் சாலை பணிகள்."
1079,CATEGORY 2 — TRANSPORTATION,Tamil,நீண்ட தூரப் பயணங்களில் இடைநிறுத்தங்கள் ஏன் அவசியம்?,ஓய்வு பெறவும் பயண சோர்வை குறைக்கவும்.
1080,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் உச்ச நேரங்களில் பயணம் செய்வதைத் தவிர்ப்பது ஏன் நல்லது?,அதிக நெரிசல் மற்றும் நேர இழப்பை தவிர்க்க.
1081,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் செல்லும்போது மூத்த குடிமக்களுக்கு முன்னுரிமை வழங்குவது ஏன் முக்கியம்?,சமூக மரியாதையும் பாதுகாப்பையும் உறுதி செய்வதற்காக.
1082,CATEGORY 2 — TRANSPORTATION,Tamil,பயணத்தின் போது பயணப் பொருட்களை எவ்வாறு பாதுகாப்பாக வைத்திருக்கலாம்?,உடலுக்கு அருகில் வைத்திருத்தல் மற்றும் கண்காணிப்புடன் இருப்பது மூலம்.
1083,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் வழிகாட்டி பலகைகளை கவனிப்பது ஏன் அவசியம்?,சரியான திசையை பின்பற்றி தவறுகளை தவிர்க்க.
1084,CATEGORY 2 — TRANSPORTATION,Tamil,மழைக்காலத்தில் போக்குவரத்தில் கூடுதல் கவனம் தேவைப்படுவது ஏன்?,வழுக்கையான சாலைகள் மற்றும் குறைந்த பார்வை காரணமாக.
1085,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் பயணக் கட்டணத்தை சரிபார்ப்பது ஏன் முக்கியம்?,அதிக கட்டணம் வசூலிப்பதைத் தவிர்க்க.
1086,CATEGORY 2 — TRANSPORTATION,Tamil,வாடகை வாகனத்தில் பயணிக்கும் போது ஒப்பந்த விவரங்களை சரிபார்ப்பது ஏன் அவசியம்?,மறைமுக கட்டணங்கள் மற்றும் தவறான புரிதல்களைத் தவிர்க்க.
1087,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் அவசர நிலை ஏற்பட்டால் என்ன செய்ய வேண்டும்?,அருகிலுள்ள அதிகாரிகளிடம் அல்லது அவசர சேவை எண்களை தொடர்புகொள்ள வேண்டும்.
1088,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் பயணிக்கும் போது இருக்கை ஒழுங்கை பின்பற்றுவது ஏன் முக்கியம்?,அனைவருக்கும் வசதியான பயண அனுபவத்தை வழங்க.
1089,CATEGORY 2 — TRANSPORTATION,Tamil,இரவு நேரத்தில் நீண்ட தூரப் பயணம் செய்வது பாதுகாப்பானதா?,பாதுகாப்பான சேவைகள் பயன்படுத்தினால் பொதுவாக பாதுகாப்பானது.
1090,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் மொழி சிக்கல்கள் ஏற்பட்டால் என்ன செய்யலாம்?,"எளிய வார்த்தைகள், சைகைகள் அல்லது எழுத்து மூலம் தொடர்புகொள்ளலாம்."
1091,CATEGORY 2 — TRANSPORTATION,Tamil,மலைப்பாதைகளில் பயணம் செய்யும் போது கவனிக்க வேண்டியவை என்ன?,மெதுவாக ஓட்டுதல் மற்றும் சாலை நிலையை கவனித்தல்.
1092,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் உணவு எடுத்துச் செல்லும்போது எதை கவனிக்க வேண்டும்?,பிற பயணிகளுக்கு இடையூறு இல்லாத வகையில் எடுத்துச் செல்லுதல்.
1093,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் பயண நேரத்தை முன்கூட்டியே கணிப்பது ஏன் பயனுள்ளது?,திட்டமிட்ட செயல்களை சரியாக நிறைவேற்ற உதவுகிறது.
1094,CATEGORY 2 — TRANSPORTATION,Tamil,பேருந்து அல்லது ரயில் தவறவிட்டால் என்ன செய்ய வேண்டும்?,அடுத்த சேவையைப் பற்றி விசாரித்து காத்திருக்க வேண்டும்.
1095,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் பயணத்தின் போது ஓய்வு பெறுவது ஏன் அவசியம்?,உடல் சோர்வை குறைத்து பாதுகாப்பான பயணத்தை உறுதி செய்ய.
1096,CATEGORY 2 — TRANSPORTATION,Tamil,சுற்றுலாப்பயணிகளுக்கு போக்குவரத்தில் வழிகாட்டி உதவி கிடைக்குமா?,பல இடங்களில் தகவல் மையங்கள் மற்றும் உதவி பணியாளர்கள் உள்ளனர்.
1097,CATEGORY 2 — TRANSPORTATION,Tamil,பொதுப் போக்குவரத்தில் பயணிக்கும் போது ஒழுங்கை பின்பற்றுவது ஏன் அவசியம்?,பாதுகாப்பையும் சமூக ஒழுக்கத்தையும் பேணுவதற்காக.
1098,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்தில் பயண அனுபவத்தை மேம்படுத்த சிறந்த வழி என்ன?,முன்திட்டமிடுதல் மற்றும் பொறுமையுடன் நடந்து கொள்ளுதல்.
1099,CATEGORY 2 — TRANSPORTATION,Tamil,பயணத்தின் போது சாலை நிலைமைகளை கவனிப்பது ஏன் முக்கியம்?,விபத்துகளைத் தவிர்க்கவும் பாதுகாப்பாக செல்வதற்காக.
1100,CATEGORY 2 — TRANSPORTATION,Tamil,போக்குவரத்து சேவைகளைப் பற்றி முன்கூட்டியே தெரிந்து கொள்வது ஏன் பயனுள்ளதாகும்?,நேரம் சேமிக்கவும் பயண சிரமங்களை குறைக்கவும்.
1101,CATEGORY 3 — TOURIST ATTRACTIONS,Tamil,இலங்கையில் பிரபலமான சுற்றுலா இடங்கள் எவை?,"கடற்கரைகள், மலைப்பகுதிகள், வரலாற்றுச் சிறப்புமிக்க இடங்கள் மற்றும் இயற்கை பாதுகாப்பு பகுதிகள்."
